Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_x_max,acc_rh_x_min,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_y_max,acc_rh_y_min,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,acc_rh_z_max,acc_rh_z_min,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_x_max,gyro_rh_x_min,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_y_max,gyro_rh_y_min,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,gyro_rh_z_max,gyro_rh_z_min
circle,0.55884,0.48456,0.12752,0.13615,0.17834,0.17834,0.41889,0.41783,0.10692,0.11936,0.13465,0.13465,0.71266,0.80308,0.08101,0.08851,0.29975,0.29975,0.39778,0.21034,0.33287,0.25562,0.44472,0.44472,0.5575,0.80076,0.18142,0.17323,0.12745,0.12745,0.34945,0.03042,0.22093,0.23151,0.1445,0.1445
circle,0.26831,0.17447,0.18611,0.17593,0.18945,0.18945,0.39952,0.26934,0.13664,0.14361,0.17608,0.17608,0.68909,0.74012,0.10316,0.10199,0.32314,0.32314,0.8477,0.65569,0.17719,0.14798,0.31282,0.31282,0.65535,0.88182,0.2003,0.17028,0.14797,0.14797,0.45136,0.25842,0.22379,0.3265,0.1445,0.1445
circle,0.38701,0.35434,0.21127,0.21694,0.18945,0.18945,0.41792,0.41628,0.14936,0.15515,0.17608,0.17608,0.67345,0.74983,0.0917,0.08883,0.32314,0.32314,0.53269,0.55255,0.25876,0.24869,0.31282,0.31282,0.41634,0.62609,0.22557,0.2041,0.14797,0.14797,0.45019,0.43071,0.19286,0.32841,0.14106,0.14106
circle,0.39022,0.38063,0.21007,0.19226,0.25735,0.25735,0.40989,0.40167,0.1438,0.15799,0.18343,0.18343,0.64194,0.76423,0.11217,0.14167,0.26773,0.26773,0.50284,0.4488,0.3127,0.29554,0.3009,0.3009,0.39991,0.63531,0.23141,0.22286,0.13999,0.13999,0.40948,0.31533,0.15529,0.27696,0.0599,0.0599
circle,0.37214,0.3702,0.21756,0.18039,0.28542,0.28542,0.50281,0.44703,0.13551,0.16148,0.18343,0.18343,0.58004,0.6527,0.10916,0.1281,0.33178,0.33178,0.46539,0.52699,0.31901,0.29162,0.3009,0.3009,0.29749,0.56559,0.19421,0.17097,0.15776,0.15776,0.42556,0.43726,0.15438,0.23864,0.11373,0.11373
circle,0.3399,0.34264,0.24487,0.20493,0.28542,0.28542,0.50609,0.42808,0.1568,0.187,0.19963,0.19963,0.52882,0.64735,0.12611,0.13488,0.33178,0.33178,0.53484,0.54473,0.34983,0.33689,0.28571,0.28571,0.55564,0.65398,0.17168,0.11735,0.15776,0.15776,0.3687,0.23023,0.1951,0.28951,0.11373,0.11373
circle,0.41246,0.37521,0.26028,0.21979,0.39774,0.39774,0.46005,0.32277,0.19091,0.22365,0.21055,0.21055,0.53701,0.64668,0.16485,0.18526,0.41598,0.41598,0.42965,0.54684,0.38521,0.41107,0.28571,0.28571,0.64442,0.84637,0.2424,0.21611,0.19126,0.19126,0.45668,0.27481,0.20158,0.31827,0.14548,0.14548
circle,0.49164,0.3702,0.24248,0.22258,0.39774,0.39774,0.40616,0.35074,0.16336,0.16468,0.21055,0.21055,0.53473,0.61789,0.13957,0.1433,0.41598,0.41598,0.39055,0.51045,0.33357,0.30697,0.25351,0.25351,0.2956,0.51761,0.29035,0.28191,0.3431,0.3431,0.56011,0.40947,0.28058,0.41999,0.2354,0.2354
circle,0.42188,0.1465,0.25069,0.26483,0.31228,0.31228,0.35058,0.33738,0.17862,0.1557,0.26422,0.26422,0.49547,0.5663,0.11938,0.11843,0.29471,0.29471,0.60348,0.59405,0.44011,0.38368,0.27399,0.27399,0.40703,0.3394,0.30755,0.29362,0.35357,0.35357,0.30465,0.24282,0.43846,0.48079,0.55151,0.55151
circle,0.40741,0.13647,0.22593,0.22691,0.31228,0.31228,0.5019,0.52905,0.18504,0.17243,0.26422,0.26422,0.46803,0.5633,0.16163,0.17055,0.29471,0.29471,0.43743,0.51376,0.42744,0.33692,0.27399,0.27399,0.58961,0.49326,0.24998,0.21989,0.35357,0.35357,0.34501,0.22263,0.50154,0.41729,0.55151,0.55151
